"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x208056970","x1388275233149227009",2021-04-30 23:33:03,"PairsonnalitesU","Fighting Stigma :  India Is Counting Thousands of Daily COVID Deaths. How Many Is It Missing?: Across India, there are shortages of testing kits, hospital beds, medical oxygen and antiviral drugs, as a severe second wave of the pandemic crushes... https://t.co/vRhcP9hi7d","dlvr.it",272,,,,FALSE,FALSE,0,0,,,,,"dlvr.it/RypFqs","https://t.co/vRhcP9hi7d","http://dlvr.it/RypFqs",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PairsonnalitesU/status/1388275233149227009","Stigmabase | UN","WORLDWIDE","Asia <U+2014> <U+092D><U+093E><U+0930><U+0924>  <U+2014> T<U+00FC>rk<U+00E7>e <U+2014> <U+010C>e<U+0161>tina <U+2014> <U+03B5><U+03BB><U+03BB><U+03B7><U+03BD><U+03B9><U+03BA><U+03AC> | Keeping up-to-date on global exclusion <U+2014> Stigmabase is an internet non-profit Initiative","https://t.co/DTaqNj9Hmn",FALSE,2512,2432,119,1542814,0,2010-10-26 15:04:54,FALSE,"https://t.co/DTaqNj9Hmn","https://www.stigmabase.org/",,"https://pbs.twimg.com/profile_banners/208056970/1385144150","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000775227733/ae13c3d84fd6fa9876a0c7c46e3a3f24_normal.png"
"x209487817","x1388262311421378565",2021-04-30 22:41:42,"satendra_1125","COVID Drugs Being Distributed by Politicians: A Deeper Malaise https://t.co/9YvTQYTw5x","Twitter for Android",88,,,,FALSE,FALSE,1,0,,,,,"thequint.com/voices/opinion<U+2026>","https://t.co/9YvTQYTw5x","https://www.thequint.com/voices/opinion/covid-pandemic-remdesivir-oxygen-essential-medical-supplies-shortage-politicians-hoarding-distributing-inequality-healthcare-access",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/satendra_1125/status/1388262311421378565","Dr. Satendra Singh","Allahabad, India","Ambedkarite Buddhist & Academician. 
22 vows of Dr. B.R. Ambedkar.",,FALSE,3494,4998,5,12761,14110,2010-10-29 08:46:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/209487817/1574148798","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1375800159683117056/Q869ixDV_normal.jpg"
"x1199561535145664512","x1388243126054096901",2021-04-30 21:25:28,"DravidaAndhanan","@ahar_nisham Can't complain brother, compared to other states. Oxygen supply is fine enuff. For anti viral drugs, you'll have to go around searching a bit. But otherwise apart from bed shortages, don't think there are too many problems","Twitter for Android",222,"x1388242453011042304","x1387109736907255810","ahar_nisham",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1387109736907255810","ahar_nisham","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DravidaAndhanan/status/1388243126054096901","Dravida Andhanan","","18
He/she",,FALSE,293,1011,0,909,59572,2019-11-27 05:32:21,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1381315045028597760/sZ9DXS-c_normal.jpg"
"x75274078","x1388239394855743489",2021-04-30 21:10:38,"evernewecon","As Meatpackers Stoked Fears of a Shortage, U.S. Meat Exports Increased @inthesetimesmag https://t.co/5xIMj5Y3cp 

did washington pay any drug maker for any vaccine batch being distributed somewhere else post-its being
declined for use here?","Twitter Web App",240,,,,FALSE,FALSE,0,0,,,,,"inthesetimes.com/article/covid-<U+2026>","https://t.co/5xIMj5Y3cp","https://inthesetimes.com/article/covid-meatpacking-meat-shortage-fears-workers-exports",,,,,,,,,"x45629254","inthesetimesmag","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/evernewecon/status/1388239394855743489","EverNewEcoN","San Diego, California ","SyracuseU Maxwell Sch Underg Dv/U of Michigan Sch Public Health ChauvinismInclWifey'sParochialUndergradAmong1st GS AllianceLrningFrHistoryMyHS'sTitle9AheadOfUS'","http://t.co/FFr7PAVR8H",FALSE,360,1383,16,54459,12,2009-09-18 12:59:56,FALSE,"http://t.co/FFr7PAVR8H","http://www.evernewecon.com",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1091735550","x1388231802591055872",2021-04-30 20:40:28,"FarooqmoinMoin","Covid19 crisis in Indian Occupied Kashmir forced ill- prepared authorities to scramble for measures like ongoing 84-hour-long curfew, shortage of take-home oxygen facilities, vaccines &amp; anti-viral drugs left the administration with not many options, @KashmirBylines https://t.co/ZxCVkWWven","Twitter Web App",269,,,,TRUE,FALSE,0,0,,,,,"twitter.com/KashmirBylines<U+2026>","https://t.co/ZxCVkWWven","https://twitter.com/KashmirBylines/status/1388154376599048200",,,,,,,,,"x1266074141213560838","KashmirBylines","en","x1388154376599048200","The COVID-19 crisis in Jammu &amp; Kashmir has forced the ill-prepared authorities to scramble for measures like the ongoing 84-hour-long curfew. A shortage of take-home oxygen facilities, vaccines and anti-viral drugs has left the administration with not many options.

<U+0001F4F7>@waseemdar_ https://t.co/5yfnfVjJYj",2021-04-30 15:32:48,"Buffer",70,17,"x1266074141213560838","KashmirBylines","Kashmir Bylines",3032,18,2050,"Jammu and Kashmir","Kashmir Bylines is a news website. We bring to you news and views about politics, history, literature, education and culture.",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FarooqmoinMoin/status/1388231802591055872","Farooq Moin","Karachi, Pakistan","Senior journalist, worked in Pakistan's PPI news agency, posted London 1978 to 1981 specialize in diplomatic, political, finance, parliament, traveled abroad",,FALSE,51,325,0,9303,3050,2013-01-15 11:11:00,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1140032946","x1388226771875627008",2021-04-30 20:20:29,"theatreartiste","India has ordered the import of 4,50,000 vials of Remdesivir from an American and Egyptian company to address the shortage of this vital drug in the country. The first consignment of 75000 vials is expected to arrive by Saturday from the US.
#COVIDEmergency #COVID19India #Covid","Twitter for Android",278,,,,FALSE,FALSE,0,0,,,"COVIDEmergency COVID19India Covid",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/theatreartiste/status/1388226771875627008","theatreartiste","NEW DELHI","Theatre Artiste of India (TAI) is not just another organization; it is a dream, a vision, and a movement to bring on a common platform all the theatre artistes","http://t.co/17L1Rqmr",FALSE,100,104,1,737,32,2013-02-01 15:50:55,FALSE,"http://t.co/17L1Rqmr","http://www.theatreartisteofindia.com",,"https://pbs.twimg.com/profile_banners/1140032946/1539533780","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/3193093986/54e1f1b5af03bddad8aeb9f00beda13a_normal.png"
"x1050086004353159169","x1388225538393661446",2021-04-30 20:15:34,"saikirannallar1","@DonitaJose This is just a drama to subsidize the core problems like oxygen scarcity beds shortage. This is much same as we previously had drug case hul chal throughout the state end of the nothing happens/happened in drugs case","Twitter for Android",216,"x1388159168280862727","x2410732195","DonitaJose",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x2410732195","DonitaJose","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/saikirannallar1/status/1388225538393661446","saikirannallari","Hyderabad, India","",,FALSE,0,26,0,116,45,2018-10-10 18:09:47,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1247145471576961032/XM3dEJ33_normal.jpg"
"x3290364847","x1388224462030610437",2021-04-30 20:11:18,"statnews","Does President Biden really care about drug prices? Is Sputnik V falling out of orbit? And whys it so hard to find pipette tips?  All this and much more on the latest episode of ""The Readout LOUD"" #podcast!
Listen here: https://t.co/QHrFDWftkq","Buffer",245,,,,FALSE,FALSE,2,1,,,"podcast",,"buff.ly/3vynAHe","https://t.co/QHrFDWftkq","https://buff.ly/3vynAHe",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/statnews/status/1388224462030610437","STAT","","Reporting from the frontiers of health & medicine. 
https://t.co/uDkGWqLpzf
Sign up for our free newsletters here: https://t.co/11O03xHY8H","http://t.co/96vslYbMdb",FALSE,155102,5241,4223,48499,19055,2015-07-24 16:09:35,TRUE,"http://t.co/96vslYbMdb","http://www.statnews.com/",,"https://pbs.twimg.com/profile_banners/3290364847/1618411056","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1220049678420643841/00Z3yA4z_normal.png"
"x3290364847","x1388116139432189953",2021-04-30 13:00:52,"statnews","Does President Biden really care about drug prices? Is Sputnik V falling out of orbit? And why's it so hard to find pipette tips? All that and more on the latest episode of ""The Readout LOUD."" Listen now: https://t.co/eddT4BOWxZ","Buffer",228,,,,FALSE,FALSE,3,2,,,,,"buff.ly/3gTWQNl","https://t.co/eddT4BOWxZ","https://buff.ly/3gTWQNl",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/statnews/status/1388116139432189953","STAT","","Reporting from the frontiers of health & medicine. 
https://t.co/uDkGWqLpzf
Sign up for our free newsletters here: https://t.co/11O03xHY8H","http://t.co/96vslYbMdb",FALSE,155102,5241,4223,48499,19055,2015-07-24 16:09:35,TRUE,"http://t.co/96vslYbMdb","http://www.statnews.com/",,"https://pbs.twimg.com/profile_banners/3290364847/1618411056","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1220049678420643841/00Z3yA4z_normal.png"
"x1673387724","x1388220740097298434",2021-04-30 19:56:30,"brfharbans","Vasooli Govt asked the MD of a company to reduce manufacture of these drugs? https://t.co/iXrafzfdJc","Twitter Web App",100,"x1388219651268571137","x1673387724","brfharbans",FALSE,FALSE,1,1,,,,,"indianexpress.com/article/explai<U+2026>","https://t.co/iXrafzfdJc","https://indianexpress.com/article/explained/coronavirus-shortage-of-remdesivir-cause-effect-and-what-is-being-done-about-it-7269520/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/brfharbans/status/1388220740097298434","Harbans Singh Jai Shri Ram","","Declare India a Dharmic Rashtra and form a Federation of Dharmic Nations. Was Time Person of the Year 2006. www.http://t.co/xKbIMgSICW",,FALSE,3054,1873,42,56657,6990,2013-08-15 15:22:39,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000302938364/51a27ae64493c02d47335bd286823fa6_normal.jpeg"
