"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x452270977","x1394417813893308416",2021-05-17 22:21:28,"thansonbur","@ChrisJansing Shortage of lethal injections? Because states thought method inhumane. Yet drugs sold &amp; prescribed legally killed thousands, ruined families, communities., that slid right thru! unbelievable.
Overused phrase, fits you just cant make this shit up.
Yet someone did &amp; here we are","Twitter for iPhone",287,"x1394376486900097032","x238259855","ChrisJansing",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x238259855","ChrisJansing","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/thansonbur/status/1394417813893308416","Terre Hanson Burkhart","Ohio, USA","Faith is to believe what we do not see and the reward of this faith is to see what we believe. - Saint Augustine",,FALSE,354,1898,15,13405,43283,2012-01-01 16:52:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/452270977/1619327104","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/920237121188884480/C0DiRWY8_normal.jpg"
"x50321602","x1394417704082149382",2021-05-17 22:21:02,"ClaudiaNichols","@jefftimmer As I understand it, because unable to obtain some of the drugs needed for lethal injection. Different states are pursuing a variety of novel methods to deal with the drug shortage; to my knowledge none have been challenged with litigation, but I know little.","Twitter Web App",258,"x1394310895010975748","x19300475","jefftimmer",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x19300475","jefftimmer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ClaudiaNichols/status/1394417704082149382","Healthcare Advocate","Shining City Upon a HIll","""We are not here to curse the darkness, but to light a candle that can guide us...""",,FALSE,5025,4863,361,65017,13130,2009-06-24 14:38:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/50321602/1609738044","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1345181458105729025/yLL5i4h-_normal.jpg"
"x604117870","x1394414109144190976",2021-05-17 22:06:45,"erossin48","There's a shortage of lethal injection drugs, but SC can't wait to start killing (Black) people again. https://t.co/sFYMI12jQK","Twitter for iPhone",102,,,,TRUE,FALSE,0,0,,,,,"twitter.com/mikebalsamo1/s<U+2026>","https://t.co/sFYMI12jQK","https://twitter.com/mikebalsamo1/status/1394273579676614657",,,,,,,,,,,"en","x1394273579676614657","COLUMBIA, S.C. (AP) <U+2014> South Carolina governor signs into law bill forcing death row inmates to choose between firing squad and electric chair.",2021-05-17 12:48:20,"Twitter for iPhone",323,221,"x415581517","MikeBalsamo1","Mike Balsamo",27800,3907,22466,"Washington, DC","Lead Justice Dept. & federal law enforcement reporter @AP. Board member @PressClubDC. Prior gigs: NYC & LA. Long Island native. Taco aficionado. MBalsamo@ap.org",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/erossin48/status/1394414109144190976","Estie Ross","California, USA","Writer, Editor, Historian. ""It's a republic - if you can keep it."" She/her. FBR #BidenHarris",,FALSE,11398,11279,52,43454,155707,2012-06-10 02:30:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/604117870/1419028591","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/546060046115676160/9CtgGx8Q_normal.jpeg"
"x332956008","x1394410903429341184",2021-05-17 21:54:00,"FelWrites","@FlippyO @axios It's due to a shortage of the drugs used in lethal injection.

The makers are no longer providing them for executions.","Twitter for Android",118,"x1394345420994666496","x19877244","FlippyO",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x19877244 x800707492346925056","FlippyO axios","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FelWrites/status/1394410903429341184","Fel","USA","Writer, author, cartoon addict, shameless Brony, Zoid collector, Nerd, creepy cat guy, and general all-around slacker.","https://t.co/J5ewWLKz74",FALSE,325,729,7,13590,2333,2011-07-10 18:40:42,FALSE,"https://t.co/J5ewWLKz74","http://www.sennadar.com",,"https://pbs.twimg.com/profile_banners/332956008/1528610637","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/378800000424739910/4b3befde7e6e243189f09ff19ba29587_normal.png"
"x1352581882819584000","x1394405696729399299",2021-05-17 21:33:19,"Wokey_McWoke_","@FrankieGem57 food shortage 
drugs shortage
mass STD 
stock market collapse 
job losses 

all wrong , every single one","Twitter Web App",104,"x1394373941964296198","x765575668323213312","FrankieGem57",FALSE,FALSE,2,0,,,,,,,,,,,,,,,,"x765575668323213312","FrankieGem57","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Wokey_McWoke_/status/1394405696729399299","Dylan_A","","Un Woke.
Twitter is an illusion.
All Lives Matter .
White and not ashamed.

Pronouns - bee / bop / alula",,FALSE,81,241,3,1696,287,2021-01-22 11:40:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/1352581882819584000/1611316743",,"http://pbs.twimg.com/profile_images/1358697481131982848/1u6KZE01_normal.jpg"
"x1578739226","x1394400607708930049",2021-05-17 21:13:06,"Brigida__Santos","New #SouthCarolina law makes death row inmates choose electric chair or firing squad amid lethal injection drug shortage. https://t.co/1ghqkbnx8M","Twitter Web App",145,,,,FALSE,FALSE,0,0,,,"SouthCarolina",,"abcnews.go.com/Politics/wireS<U+2026>","https://t.co/1ghqkbnx8M","https://abcnews.go.com/Politics/wireStory/law-makes-inmates-choose-electric-chair-firing-squad-77735009",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Brigida__Santos/status/1394400607708930049","Brigida","Los Angeles","Producer/Host, ""World According to Jesse"" w/ @GovJVentura. Correspondent, <U+201D>Americas Lawyer.<U+201D> Special reports on #Yemen & #Libya.","http://www.brigidasantos.com",FALSE,8526,805,123,1485,3550,2013-07-08 22:02:09,TRUE,"http://www.brigidasantos.com",,,"https://pbs.twimg.com/profile_banners/1578739226/1501944023","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/1185232655085817857/KvyN9pfQ_normal.jpg"
"x782363971265425409","x1394397341604536320",2021-05-17 21:00:07,"realJammur","@GunReformRyan I really don't understand this. There is a shortage is drugs for lethal injection,  but not long ago we had enough fentynal on the streets to peacefully decimate a major city.","Twitter for Android",175,"x1394359520240017416","x3910760593","GunReformRyan",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x3910760593","GunReformRyan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/realJammur/status/1394397341604536320","James Murray","Tennessee, USA","that this nation, under God, shall have a new birth of freedom....",,FALSE,1046,857,4,106730,130293,2016-10-01 23:38:01,FALSE,,,,"https://pbs.twimg.com/profile_banners/782363971265425409/1494448064",,"http://pbs.twimg.com/profile_images/1354168334472851457/v78Z1MNi_normal.jpg"
"x1244198220366000128","x1394394355557879811",2021-05-17 20:48:15,"PPEtoheros","@TurnbullWhitby the government still wont promote the recommendations to use elastomeric respirators or work with manufacturers.  HC is also still spreading misinformation about the need to reuse N95s due to a PPE shortage that doesnt even exist. https://t.co/d4nWnOlQdz","Twitter for iPhone",274,,,,FALSE,FALSE,0,0,,,,,"canada.ca/en/health-cana<U+2026>","https://t.co/d4nWnOlQdz","https://www.canada.ca/en/health-canada/services/drugs-health-products/covid19-industry/medical-devices/personal-protective-equipment/medical-masks-respirators/reprocessing.html",,,,,,,,,"x1140090941195325440","TurnbullWhitby","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PPEtoheros/status/1394394355557879811","Nicolas Smit","Greater Sudbury / Grand Sudbury, Ontario","I<U+2019>m a mine engineer by training. I am working to raise awareness around elastomeric respirators to save as many lives around the world as possible.","https://t.co/RZChZP7oOg",FALSE,512,1332,11,2812,1068,2020-03-29 09:42:50,FALSE,"https://t.co/RZChZP7oOg","https://ca.linkedin.com/in/nicolas-smit-b8836b5b",,"https://pbs.twimg.com/profile_banners/1244198220366000128/1606876892",,"http://pbs.twimg.com/profile_images/1256156483080933377/QJJWo3yu_normal.jpg"
"x16640775","x1394393879655366670",2021-05-17 20:46:22,"WTHRcom","South Carolina hasn't executed an inmate on death row in nearly 10 years due to a shortage of lethal injection drugs. Gov. Henry McMaster signed a bill Friday requiring inmates to choose between the electric chair or a newly formed firing squad. https://t.co/LkUwBB6OEe","SocialNewsDesk",269,,,,FALSE,FALSE,23,7,,,,,"wthr.com/article/news/l<U+2026>","https://t.co/LkUwBB6OEe","https://www.wthr.com/article/news/local/firing-squads-electric-chair-south-carolina/101-5a5b84f9-4fd7-43d7-abcd-d4f105f3553b",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/WTHRcom/status/1394393879655366670","WTHR.com","Indianapolis, Indiana","Thanks for visiting WTHR-TV, the NBC television affiliate in Indianapolis, Indiana.","https://t.co/LW8jZ4PfLU",FALSE,279870,7531,1941,323529,3191,2008-10-08 00:55:37,TRUE,"https://t.co/LW8jZ4PfLU","http://www.wthr.com",,"https://pbs.twimg.com/profile_banners/16640775/1585761349","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1250998084001300480/8dNAQetI_normal.jpg"
"x2432700120","x1394393139822010370",2021-05-17 20:43:25,"Mr_Thomps_0","@Emily30Red Shortage of the drugs used for lethal injection. Personally, if capital punishment is to be legal, a firing squad is quick and harder to get wrong than the other methods.","Twitter Web App",170,"x1394392057763049472","x4808391867","Emily30Red",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x4808391867","Emily30Red","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Mr_Thomps_0/status/1394393139822010370","M. Thompson<U+0001F1FA><U+0001F1F8>","South of the River","Conservative Squid turned accountant in Minnesota. Part of the Vast Right Wing Catspiracy. Retweets, following is not endorsement. Member of the front porch.",,FALSE,461,1331,11,19535,59886,2014-04-07 23:09:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/2432700120/1402884957","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/453357613237809153/bjJIQXGI_normal.jpeg"
